0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
64.0,20.0,2556.0,61.0,102.0,58.0,415.0,5336.0,24.0,488.0,3477.0,62.0,411.0,4.0,71.0,1789.0,3.0,331.0,2818.0,234.0,203.0,799.0,1342.0,347.0,17.0,7.0,411.0,218.0,69.0,24.0
46.0,29.0,2132.0,60.0,98.0,42.0,372.0,5421.0,23.0,495.0,3372.0,66.0,406.0,9.0,61.0,1870.0,4.0,295.0,3025.0,600.0,202.0,849.0,1203.0,313.0,15.0,1.0,427.0,159.0,47.0,20.0
42.0,15.0,2038.0,54.0,81.0,49.0,449.0,5266.0,22.0,440.0,3367.0,61.0,436.0,8.0,57.0,1713.0,5.0,251.0,2668.0,262.0,168.0,815.0,1162.0,290.0,17.0,5.0,635.0,180.0,66.0,17.0
37.0,24.0,2054.0,81.0,91.0,59.0,437.0,4990.0,12.0,453.0,3030.0,51.0,370.0,10.0,52.0,1598.0,4.0,153.0,2379.0,205.0,85.0,860.0,1161.0,330.0,20.0,4.0,490.0,130.0,35.0,16.0
19.0,26.0,3114.0,60.0,106.0,38.0,465.0,5955.0,22.0,514.0,3898.0,98.0,566.0,6.0,46.0,1934.0,4.0,225.0,2749.0,234.0,87.0,972.0,1581.0,419.0,18.0,6.0,585.0,195.0,60.0,36.0
30.0,37.0,2773.0,53.0,84.0,24.0,434.0,5724.0,19.0,551.0,4573.0,62.0,378.0,2.0,68.0,1686.0,8.0,260.0,2691.0,192.0,179.0,875.0,1286.0,321.0,17.0,7.0,420.0,205.0,66.0,21.0
51.0,43.0,2535.0,46.0,95.0,46.0,471.0,5625.0,37.0,478.0,3949.0,59.0,489.0,5.0,68.0,1772.0,7.0,281.0,2644.0,200.0,206.0,856.0,1196.0,319.0,17.0,6.0,444.0,192.0,55.0,30.0
29.0,42.0,2243.0,40.0,68.0,48.0,391.0,5427.0,18.0,395.0,3586.0,72.0,414.0,4.0,62.0,1425.0,7.0,315.0,2914.0,162.0,215.0,971.0,1136.0,325.0,13.0,1.0,446.0,193.0,64.0,8.0
33.0,24.0,2086.0,31.0,77.0,46.0,325.0,5038.0,20.0,365.0,3344.0,44.0,356.0,8.0,68.0,1487.0,1.0,266.0,2457.0,159.0,189.0,797.0,1071.0,292.0,4.0,5.0,525.0,169.0,47.0,16.0
26.0,18.0,2103.0,26.0,67.0,31.0,309.0,5208.0,22.0,351.0,3724.0,70.0,331.0,9.0,54.0,1440.0,2.0,175.0,2400.0,134.0,152.0,757.0,988.0,300.0,17.0,3.0,414.0,151.0,51.0,9.0
30.0,13.0,2029.0,36.0,58.0,48.0,381.0,4642.0,18.0,325.0,3012.0,50.0,354.0,6.0,57.0,1149.0,6.0,143.0,2020.0,152.0,91.0,810.0,965.0,357.0,18.0,5.0,324.0,163.0,47.0,9.0
28.0,23.0,2439.0,60.0,77.0,52.0,422.0,5405.0,23.0,624.0,3697.0,79.0,608.0,7.0,60.0,1680.0,11.0,209.0,2472.0,216.0,82.0,1307.0,1179.0,431.0,21.0,7.0,448.0,187.0,51.0,19.0
38.0,64.0,2479.0,84.0,62.0,59.0,407.0,5726.0,25.0,377.0,3713.0,53.0,420.0,6.0,58.0,1520.0,6.0,273.0,2530.0,146.0,178.0,970.0,1193.0,317.0,10.0,3.0,372.0,185.0,51.0,21.0
40.0,28.0,2490.0,59.0,66.0,37.0,431.0,5647.0,18.0,432.0,3662.0,85.0,494.0,4.0,74.0,1530.0,1.0,264.0,2577.0,148.0,198.0,912.0,1126.0,362.0,20.0,6.0,416.0,168.0,61.0,16.0
64.0,33.0,2341.0,112.0,94.0,37.0,377.0,5275.0,21.0,387.0,3315.0,70.0,428.0,4.0,73.0,1478.0,12.0,228.0,2482.0,153.0,185.0,795.0,1118.0,334.0,9.0,1.0,374.0,145.0,42.0,16.0
54.0,39.0,2436.0,216.0,84.0,30.0,414.0,5314.0,25.0,399.0,3275.0,45.0,384.0,6.0,75.0,1415.0,5.0,262.0,2644.0,183.0,178.0,1177.0,1337.0,319.0,9.0,1.0,342.0,196.0,41.0,12.0
31.0,23.0,2291.0,166.0,65.0,41.0,331.0,5194.0,17.0,345.0,3188.0,61.0,362.0,8.0,74.0,1382.0,4.0,232.0,2343.0,175.0,167.0,1053.0,950.0,301.0,11.0,4.0,350.0,161.0,40.0,18.0
50.0,16.0,2248.0,81.0,86.0,50.0,457.0,5081.0,9.0,381.0,2815.0,57.0,566.0,10.0,68.0,1751.0,6.0,150.0,2239.0,157.0,82.0,1013.0,1023.0,331.0,10.0,13.0,362.0,143.0,70.0,19.0
41.0,29.0,3159.0,67.0,53.0,51.0,501.0,5925.0,15.0,506.0,3688.0,67.0,568.0,13.0,65.0,2993.0,6.0,186.0,2541.0,182.0,108.0,984.0,1242.0,357.0,22.0,74.0,431.0,163.0,92.0,23.0
55.0,36.0,2422.0,85.0,63.0,40.0,411.0,5574.0,19.0,457.0,3431.0,55.0,522.0,7.0,95.0,2059.0,6.0,264.0,2442.0,219.0,183.0,862.0,1090.0,246.0,19.0,27.0,435.0,175.0,71.0,30.0
42.0,27.0,2229.0,39.0,59.0,41.0,342.0,5487.0,24.0,454.0,3254.0,52.0,419.0,7.0,83.0,1582.0,3.0,237.0,2217.0,150.0,179.0,782.0,1012.0,270.0,19.0,5.0,492.0,154.0,79.0,20.0
43.0,28.0,2372.0,91.0,90.0,42.0,416.0,5200.0,21.0,466.0,3174.0,75.0,440.0,7.0,82.0,1600.0,8.0,239.0,2284.0,153.0,224.0,723.0,1101.0,289.0,26.0,5.0,424.0,193.0,46.0,9.0
48.0,12.0,2231.0,125.0,53.0,47.0,402.0,4906.0,25.0,412.0,2916.0,50.0,347.0,9.0,67.0,1656.0,4.0,286.0,2171.0,136.0,212.0,771.0,1098.0,275.0,15.0,7.0,377.0,160.0,54.0,16.0
